funder,corpus_total,num_variants,variants
National Natural Science Foundation of China,525260,4,NNSFC; NSFC; National Natural Science Foundation; National Natural Science Foundation of China
National Institutes of Health,418211,3,NIH; National Institute of Health; National Institutes of Health
European Commission,186724,4,EC; EU; European Commission; European Union
National Science Foundation,183547,3,NSF; National Science Foundation; US National Science Foundation
Medical Research Council,116750,3,MRC; Medical Research Council; UK Medical Research Council
Deutsche Forschungsgemeinschaft,106832,3,DFG; Deutsche Forschungsgemeinschaft; German Research Foundation
Korea National Research Foundation,92921,3,Korea National Research Foundation; NRF; National Research Foundation of Korea
Wellcome Trust,89386,3,The Wellcome Trust; Wellcome; Wellcome Trust
Japan Society for the Promotion of Science,84461,3,JSPS; Japan Society for Promotion of Science; Japan Society for the Promotion of Science
European Research Council,71807,2,ERC; European Research Council
National Cancer Institute,62735,2,NCI; National Cancer Institute
Conselho Nacional de Desenvolvimento Científico e Tecnológico,50962,2,CNPq; Conselho Nacional de Desenvolvimento Científico e Tecnológico
Canadian Institutes of Health Research,49516,3,CIHR; Canadian Institutes for Health Research; Canadian Institutes of Health Research
National Health and Medical Research Council,40423,3,NHMRC; NHMRC Australia; National Health and Medical Research Council
Agence Nationale de la Recherche,40000,3,ANR; Agence Nationale de la Recherche; French National Research Agency
National Institute of Allergy and Infectious Diseases,39529,2,NIAID; National Institute of Allergy and Infectious Diseases
National Institute of General Medical Sciences,38038,2,NIGMS; National Institute of General Medical Sciences
Swedish Research Council,37768,3,Swedish Research Council; VR; Vetenskapsrådet
Swiss National Science Foundation,34173,4,SNF; SNSF; Schweizerischer Nationalfonds; Swiss National Science Foundation
Biotechnology and Biological Sciences Research Council,33965,2,BBSRC; Biotechnology and Biological Sciences Research Council
Austrian Science Fund,30630,3,Austrian Science Fund; FWF; Fonds zur Förderung der wissenschaftlichen Forschung
Engineering and Physical Sciences Research Council,27965,2,EPSRC; Engineering and Physical Sciences Research Council
Bill and Melinda Gates Foundation,27917,4,BMGF; Bill & Melinda Gates Foundation; Bill and Melinda Gates Foundation; Gates Foundation
Fundação de Amparo à Pesquisa do Estado de São Paulo,26339,3,FAPESP; Fundação de Amparo à Pesquisa do Estado de São Paulo; Sao Paulo Research Foundation
National Institute on Aging,26282,2,NIA; National Institute on Aging
National Institute of Mental Health,22154,2,NIMH; National Institute of Mental Health
National Institute of Neurological Disorders and Stroke,21956,2,NINDS; National Institute of Neurological Disorders and Stroke
Netherlands Organisation for Scientific Research,21871,3,Dutch Research Council; NWO; Netherlands Organisation for Scientific Research
National Center for Advancing Translational Sciences,20366,2,NCATS; National Center for Advancing Translational Sciences
Japan Agency for Medical Research and Development,20182,2,AMED; Japan Agency for Medical Research and Development
Cancer Research UK,19399,3,CRUK; Cancer Research UK; Cancer Research United Kingdom
National Institute of Diabetes and Digestive and Kidney Diseases,18683,2,NIDDK; National Institute of Diabetes and Digestive and Kidney Diseases
National Institute of Child Health and Human Development,17971,2,NICHD; National Institute of Child Health and Human Development
Howard Hughes Medical Institute,15485,3,HHMI; Howard Hughes; Howard Hughes Medical Institute
National Heart Lung and Blood Institute,15423,2,NHLBI; National Heart Lung and Blood Institute
National Institute on Drug Abuse,12716,2,NIDA; National Institute on Drug Abuse
Economic and Social Research Council,10874,2,ESRC; Economic and Social Research Council
National Institute of Environmental Health Sciences,10419,2,NIEHS; National Institute of Environmental Health Sciences
Natural Environment Research Council,9627,2,NERC; Natural Environment Research Council
National Eye Institute,8469,2,NEI; National Eye Institute
National Institute of Arthritis and Musculoskeletal and Skin Diseases,6646,2,NIAMS; National Institute of Arthritis and Musculoskeletal and Skin Diseases
National Institute on Alcohol Abuse and Alcoholism,5367,2,NIAAA; National Institute on Alcohol Abuse and Alcoholism
Science and Technology Facilities Council,1860,2,STFC; Science and Technology Facilities Council
