funder,total_pubs,data_sharing_pubs,data_sharing_pct
National Institutes of Health,307527,38384,12.48
National Natural Science Foundation of China,402645,36788,9.14
National Science Foundation,141132,19368,13.72
European Commission,141832,17034,12.01
Deutsche Forschungsgemeinschaft,82116,10660,12.98
Wellcome Trust,68683,9873,14.37
Medical Research Council,90022,9295,10.33
European Research Council,54846,8508,15.51
Japan Society for the Promotion of Science,65708,6231,9.48
National Cancer Institute,46698,6112,13.09
Agence Nationale de la Recherche,30382,5304,17.46
Biotechnology and Biological Sciences Research Council,26110,5244,20.08
National Institute of General Medical Sciences,27274,5088,18.66
National Institute of Allergy and Infectious Diseases,28970,5024,17.34
Korea National Research Foundation,73956,4470,6.04
Conselho Nacional de Desenvolvimento Científico e Tecnológico,39467,4354,11.03
Swedish Research Council,30677,3636,11.85
Swiss National Science Foundation,25843,3560,13.78
Austrian Science Fund,23756,3080,12.97
Canadian Institutes of Health Research,37242,3073,8.25
National Health and Medical Research Council,30425,2667,8.77
Howard Hughes Medical Institute,10392,2555,24.59
Fundação de Amparo à Pesquisa do Estado de São Paulo,20743,2483,11.97
Cancer Research UK,14900,2215,14.87
Netherlands Organisation for Scientific Research,17223,2149,12.48
Bill and Melinda Gates Foundation,22670,2046,9.03
Japan Agency for Medical Research and Development,15230,1856,12.19
National Institute on Aging,20070,1650,8.22
National Institute of Diabetes and Digestive and Kidney Diseases,13767,1603,11.64
National Institute of Neurological Disorders and Stroke,15923,1507,9.46
Engineering and Physical Sciences Research Council,21649,1356,6.26
National Institute of Mental Health,17089,1333,7.8
National Heart Lung and Blood Institute,11645,1241,10.66
National Institute of Child Health and Human Development,14193,1224,8.62
Natural Environment Research Council,7560,1213,16.04
National Center for Advancing Translational Sciences,15800,1202,7.61
