funder,total,v5_rate,v7_rate,diff
HHMI (USA),9731,41.33182612270065,21.62162162162162,-19.710204501079026
Wellcome (UK),54729,24.513512032012276,12.337152149682984,-12.176359882329292
DFG (Germany),49502,24.425275746434487,11.761140964001454,-12.664134782433033
AMED (Japan),12442,23.862723034881853,10.954830413116861,-12.907892621764992
NIH (USA),280815,22.534764880793404,10.86195537987643,-11.672809500916973
EC (Europe),88893,22.20197315874141,10.360770814349836,-11.841202344391574
MRC (UK),77025,19.428756897111327,9.107432651736449,-10.321324245374878
NSFC (China),306734,15.821852158547797,7.974662085063931,-7.8471900734838655
CIHR (Canada),30122,16.453090764225482,7.426465706128411,-9.026625058097071
BMGF (USA),8830,22.355605889014722,7.0101925254813136,-15.345413363533408
