institution,count,percentage
"Department of Psychology,",23,0.4121863799283154
University of Chinese Academy of Sciences,21,0.3763440860215054
"European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI)",10,0.17921146953405018
"Department of Pathology,",9,0.16129032258064516
"Department of Biology,",9,0.16129032258064516
"Department of Chemistry,",8,0.14336917562724014
University of Oxford,7,0.12544802867383512
Chinese Academy of Sciences,7,0.12544802867383512
"University of California, San Diego",7,0.12544802867383512
"Botany and Microbiology Department, Faculty of Science,",7,0.12544802867383512
"Department of Neurology,",7,0.12544802867383512
"Department of Pediatrics,",7,0.12544802867383512
Huazhong Agricultural University,6,0.10752688172043011
Shanghai Jiao Tong University School of Medicine,6,0.10752688172043011
University of Sheffield,6,0.10752688172043011
"Medical University of Vienna,",6,0.10752688172043011
University of Debrecen,6,0.10752688172043011
Weill Cornell Medicine,6,0.10752688172043011
University of Liverpool,6,0.10752688172043011
University of Edinburgh,6,0.10752688172043011
"Department of Computer Science,",6,0.10752688172043011
Department of Psychology,5,0.08960573476702509
University of Groningen,5,0.08960573476702509
University of California,5,0.08960573476702509
"School of Life Sciences,",5,0.08960573476702509
Shanghai Jiao Tong University,5,0.08960573476702509
"Department of Microbiology and Immunology,",5,0.08960573476702509
"State Key Laboratory of Tree Genetics and Breeding, Northeast Forestry University",5,0.08960573476702509
"College of Veterinary Medicine,",5,0.08960573476702509
"Key Laboratory of Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan University",5,0.08960573476702509
Tianjin University,5,0.08960573476702509
Osaka University,5,0.08960573476702509
University of Helsinki,5,0.08960573476702509
University of Bern,5,0.08960573476702509
Fudan University,5,0.08960573476702509
University of St Andrews,5,0.08960573476702509
"University of Cambridge,",5,0.08960573476702509
"University of Oxford,",5,0.08960573476702509
Deakin University,5,0.08960573476702509
"University of Chinese Academy of Sciences,",5,0.08960573476702509
"Chinese Academy of Sciences,",5,0.08960573476702509
Stanford University,4,0.07168458781362007
"Harvard Medical School,",4,0.07168458781362007
University of Cologne,4,0.07168458781362007
Nanjing Agricultural University,4,0.07168458781362007
"Imperial College London,",4,0.07168458781362007
"South China Agricultural University,",4,0.07168458781362007
"Department of General Surgery,",4,0.07168458781362007
"Department of Neurosurgery,",4,0.07168458781362007
University of York,4,0.07168458781362007
