journal,count,percentage
Frontiers in Microbiology,375,6.720430107526882
Frontiers in Plant Science,267,4.78494623655914
Frontiers in Immunology,205,3.673835125448029
International Journal of Molecular Sciences,168,3.010752688172043
Scientific Reports,135,2.4193548387096775
Microorganisms,122,2.186379928315412
Microbiology Resource Announcements,111,1.989247311827957
PLOS ONE,104,1.863799283154122
Frontiers in Cellular and Infection Microbiology,94,1.6845878136200716
mBio,88,1.5770609318996416
Nature Communications,87,1.5591397849462365
Molecules,84,1.5053763440860215
Genes,84,1.5053763440860215
Frontiers in Oncology,69,1.2365591397849462
Frontiers in Psychology,69,1.2365591397849462
Nucleic Acids Research,69,1.2365591397849462
Scientific Data,68,1.2186379928315412
Microbiology Spectrum,68,1.2186379928315412
Viruses,68,1.2186379928315412
Data in Brief,62,1.1111111111111112
Plants,57,1.021505376344086
Frontiers in Nutrition,56,1.003584229390681
iScience,54,0.967741935483871
Animals : an Open Access Journal from MDPI,54,0.967741935483871
JCI Insight,54,0.967741935483871
Frontiers in Endocrinology,49,0.8781362007168458
Pathogens,48,0.8602150537634409
The Journal of Biological Chemistry,43,0.7706093189964157
eLife,42,0.7526881720430108
Frontiers in Public Health,40,0.7168458781362007
Frontiers in Genetics,40,0.7168458781362007
PeerJ,39,0.6989247311827957
Proceedings of the National Academy of Sciences of the United States of America,37,0.6630824372759857
mSystems,36,0.6451612903225806
Cells,35,0.6272401433691757
Biology,34,0.6093189964157706
Frontiers in Veterinary Science,33,0.5913978494623656
Journal of Fungi,32,0.5734767025089605
Insects,30,0.5376344086021505
Communications Biology,29,0.5197132616487455
Frontiers in Cardiovascular Medicine,28,0.5017921146953405
Microbial Genomics,28,0.5017921146953405
Cancers,27,0.4838709677419355
Frontiers in Neuroscience,26,0.4659498207885305
Foods,24,0.43010752688172044
Ecology and Evolution,24,0.43010752688172044
International Journal of Environmental Research and Public Health,23,0.4121863799283154
PLOS Pathogens,22,0.3942652329749104
"Mitochondrial DNA. Part B, Resources",21,0.3763440860215054
Antibiotics,21,0.3763440860215054
