,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
HHMI (USA),14.627659574468085,15.74468085106383,17.578125,21.978021978021978,23.902439024390244,19.568567026194145,25.205930807248766,27.089783281733748,27.050359712230215,28.194444444444443,27.909887359198997,24.74460839954597,22.60536398467433,22.616984402079723,22.301024428684002
BBSRC (UK),14.19457735247209,15.591397849462366,12.974051896207584,17.037037037037038,16.148689823278488,16.865671641791042,15.319715808170514,17.971246006389777,21.299500192233754,20.396825396825395,20.90288315629742,19.73061521659993,18.141233766233768,18.424566088117487,19.043015949734173
ANR (France),13.043478260869565,15.45138888888889,12.82051282051282,15.020408163265305,16.515045486354094,16.066154754873008,15.076335877862595,17.75021385799829,18.47374386097469,16.232607920085623,15.874855156431057,14.443084455324357,15.060240963855422,15.759637188208616,14.810426540284361
ERC (Europe),12.5,13.592233009708737,11.935953420669577,12.964311726147123,13.510895883777241,12.165688193085453,12.02516331962255,14.80452894680624,15.619909502262445,14.589053633534688,14.662399024538942,14.456858258177412,13.16265479337693,16.132281349672652,14.283462084187292
Wellcome (UK),9.568204121687929,9.77818017202354,8.720311946118397,10.478617955253469,11.153552330022919,11.537582819282614,11.871393239901073,14.444235471130337,15.022041369955918,15.350444225074037,14.995640802092414,15.19949335022166,14.164534805439613,12.776806526806528,12.552363853979653
DFG (Germany),11.334405144694534,10.70615034168565,9.12975912975913,9.355044699872286,11.123052122514778,10.554899645808737,11.717791411042946,11.571976298361799,12.126482213438736,11.397648316408338,12.199036918138042,11.714039621016365,11.965811965811966,13.080343294385274,12.491752804046625
NSF (USA),12.024539877300613,13.173076923076923,12.047915226906243,12.997299729972998,13.901345291479823,13.5109926715523,13.979118329466358,14.123429819770617,14.070631970260223,12.944679517317034,13.695728909283444,12.772741481713034,11.937077630756999,11.96987951807229,11.851447296559257
NIH (USA),9.700778794917339,9.691581604653715,8.793489994187494,10.623070446253157,11.035905369689937,11.148608644168148,11.26494989764034,11.89325177584846,11.927630109448291,11.272727272727273,11.921931855772412,11.686088253161762,11.347499010162334,11.294186671881876,10.802540150016107
EC (Europe),13.068478829064297,11.511354737666405,10.573932711337292,12.293986636971047,11.210369591872482,11.810106305519149,11.531945788964181,12.092171853128027,11.967735884449446,10.70485638851108,11.235241843341374,10.22109459949257,10.015,10.614583333333332,10.147299509001636
NSFC (China),9.670487106017193,9.269893355209188,7.989745780816065,9.177335530485486,8.180239466227949,8.874734607218683,7.967527101259055,7.833825524782505,7.806523402183741,7.592452406986851,8.350328574665761,9.122940845275068,8.79487451021921,7.888217865064845,7.520709969559753
