country,count,corpus_total,open_data_pct,ci_low,ci_high
Netherlands,4490,4451,100.88,,
China,39346,100043,39.33,39.03,39.63
Chile,752,2110,35.64,33.62,37.71
Russia,1108,3216,34.45,32.83,36.11
Czech Republic,1328,4089,32.48,31.06,33.93
Mexico,924,3189,28.97,27.43,30.57
Brazil,2550,9977,25.56,24.71,26.42
New Zealand,831,3258,25.51,24.04,27.03
Argentina,578,2293,25.21,23.47,27.02
Germany,11723,47009,24.94,24.55,25.33
France,6150,25176,24.43,23.9,24.96
Austria,2010,8565,23.47,22.58,24.38
Norway,1507,6482,23.25,22.24,24.29
Australia,5342,23310,22.92,22.38,23.46
Hungary,571,2503,22.81,21.21,24.5
Spain,4599,20630,22.29,21.73,22.87
Kenya,305,1376,22.17,20.05,24.44
Denmark,2100,9496,22.11,21.29,22.96
Canada,5451,25451,21.42,20.92,21.93
Colombia,487,2276,21.4,19.76,23.13
Belgium,1987,9349,21.25,20.44,22.09
UK,13300,63765,20.86,20.54,21.17
USA,30231,146448,20.64,20.44,20.85
Finland,1269,6160,20.6,19.61,21.63
Portugal,1063,5200,20.44,19.37,21.56
Switzerland,3602,18000,20.01,19.43,20.6
Israel,1198,6153,19.47,18.5,20.48
Sweden,3149,16300,19.32,18.72,19.93
Italy,4599,24746,18.58,18.11,19.07
Ireland,862,4737,18.2,17.12,19.32
South Africa,976,5549,17.59,16.61,18.61
Bangladesh,279,1603,17.4,15.63,19.34
Singapore,883,5274,16.74,15.76,17.77
Japan,5336,34060,15.67,15.28,16.06
Poland,1356,8683,15.62,14.87,16.4
Greece,515,3332,15.46,14.27,16.72
Vietnam,310,2036,15.23,13.73,16.85
Thailand,798,5308,15.03,14.1,16.02
India,3225,22813,14.14,13.69,14.59
Slovenia,261,1862,14.02,12.51,15.67
Taiwan,958,6916,13.85,13.06,14.69
Egypt,715,6093,11.73,10.95,12.57
Pakistan,618,5420,11.4,10.58,12.28
Iran,588,5384,10.92,10.12,11.78
Saudi Arabia,980,9673,10.13,9.55,10.75
South Korea,2140,23083,9.27,8.9,9.65
Indonesia,245,3392,7.22,6.4,8.14
Malaysia,472,6913,6.83,6.26,7.45
Turkey,351,7413,4.73,4.27,5.24
Korea,802,0,,,
