journal,count,corpus_total,open_data_pct,ci_low,ci_high
Genome Announcements,6137,6595,93.06,92.42,93.64
Microbial Genomics,1088,1312,82.93,80.8,84.87
Genome Research,1727,2286,75.55,73.74,77.26
Microbiology Resource Announcements,4027,5673,70.99,69.79,72.15
Scientific Data,3972,5984,66.38,65.17,67.56
Molecular & Cellular Proteomics : MCP,731,1106,66.09,63.25,68.82
GigaScience,853,1325,64.38,61.76,66.91
Cell Reports Medicine,796,1519,52.4,49.89,54.91
Cell reports,1763,3606,48.89,47.26,50.52
"Mitochondrial DNA. Part B, Resources",2954,6406,46.11,44.89,47.34
BMC Evolutionary Biology,1483,3439,43.12,41.48,44.79
BMC Genomics,6437,15613,41.23,40.46,42.0
JCI Insight,1053,2614,40.28,38.42,42.18
Frontiers in Microbiology,13817,35984,38.4,37.9,38.9
iScience,4581,11950,38.33,37.47,39.21
mSystems,892,2331,38.27,36.31,40.26
G3: Genes|Genomes|Genetics,1481,4000,37.03,35.54,38.53
The Journal of Clinical Investigation,761,2066,36.83,34.78,38.94
Genes & Development,609,1703,35.76,33.52,38.07
Cell Reports,562,1576,35.66,33.33,38.06
Life Science Alliance,555,1586,34.99,32.69,37.37
Microbiology Spectrum,2112,6251,33.79,32.62,34.97
Genome Biology,1324,3989,33.19,31.75,34.67
Data in Brief,3487,11286,30.9,30.05,31.76
Genome Biology and Evolution,1010,3549,28.46,27.0,29.97
BMC Microbiology,1493,5514,27.08,25.92,28.27
PLoS Genetics,2497,9752,25.61,24.75,26.48
Wellcome Open Research,555,2178,25.48,23.7,27.35
Frontiers in Cellular and Infection Microbiology,2416,9606,25.15,24.29,26.03
Nucleic Acids Research,5847,23341,25.05,24.5,25.61
mSphere,663,2671,24.82,23.22,26.5
The Journal of Biological Chemistry,1958,7909,24.76,23.82,25.72
STAR Protocols,913,3708,24.62,23.26,26.03
Molecular Biology and Evolution,603,2547,23.67,22.06,25.36
BMC Plant Biology,1723,7634,22.57,21.65,23.52
mBio,1715,7645,22.43,21.51,23.38
Frontiers in Plant Science,6697,29912,22.39,21.92,22.86
eLife,3879,17726,21.88,21.28,22.5
F1000Research,1356,6557,20.68,19.72,21.68
Ecology and Evolution,2477,12440,19.91,19.22,20.62
Parasites & Vectors,1492,7823,19.07,18.22,19.96
Virology Journal,834,4454,18.72,17.61,19.9
Microorganisms,2717,14617,18.59,17.97,19.23
Frontiers in Genetics,2835,15614,18.16,17.56,18.77
PLoS Pathogens,1690,9866,17.13,16.4,17.89
PLoS Biology,1040,6463,16.09,15.22,17.01
Morbidity and Mortality Weekly Report,593,3809,15.57,14.45,16.75
Journal of Fungi,859,5527,15.54,14.61,16.52
ZooKeys,1105,7292,15.15,14.35,15.99
Frontiers in Veterinary Science,1493,10142,14.72,14.04,15.42
Journal of Experimental Botany,615,4188,14.68,13.65,15.79
PeerJ,2750,19095,14.4,13.91,14.91
bioRxiv,2514,18148,13.85,13.36,14.36
Viruses,2146,15700,13.67,13.14,14.22
Pathogens,1067,7872,13.55,12.82,14.33
Genes,1680,12756,13.17,12.59,13.77
Communications Biology,1065,8199,12.99,12.28,13.73
Frontiers in Immunology,5368,42584,12.61,12.29,12.92
Nature Communications,8653,69588,12.43,12.19,12.68
BMC Bioinformatics,1138,9378,12.13,11.49,12.81
Emerging Infectious Diseases,1575,13038,12.08,11.53,12.65
PLoS Neglected Tropical Diseases,1160,10225,11.34,10.74,11.97
Frontiers in Nutrition,1120,9981,11.22,10.62,11.86
BMC Veterinary Research,590,5444,10.84,10.04,11.69
Insects,699,6678,10.47,9.76,11.22
Marine Drugs,727,6989,10.4,9.71,11.14
Proceedings of the National Academy of Sciences of the United States of America,1832,17804,10.29,9.85,10.74
Frontiers in Cell and Developmental Biology,1126,11854,9.5,8.98,10.04
PLoS ONE,25098,273874,9.16,9.06,9.27
Royal Society Open Science,593,6488,9.14,8.46,9.87
PLoS Computational Biology,802,9405,8.53,7.98,9.11
Frontiers in Endocrinology,1348,16186,8.33,7.91,8.76
Aging (Albany NY),613,8104,7.56,7.01,8.16
Chemical Science,1007,13700,7.35,6.93,7.8
Frontiers in Oncology,2144,30313,7.07,6.79,7.37
Science Advances,1093,15614,7.0,6.61,7.41
Antibiotics,545,8229,6.62,6.11,7.18
PLOS ONE,2492,38721,6.44,6.2,6.68
Scientific Reports,15825,246390,6.42,6.33,6.52
Plants,1139,18136,6.28,5.94,6.64
Cell Death & Disease,658,10614,6.2,5.76,6.67
Frontiers in Neuroscience,869,14692,5.91,5.54,6.31
International Journal of Molecular Sciences,5507,96645,5.7,5.55,5.85
Frontiers in Physiology,1002,17621,5.69,5.35,6.04
Heliyon,2350,41646,5.64,5.43,5.87
Oncotarget,1466,26610,5.51,5.24,5.79
Animals : an Open Access Journal from MDPI,1045,20194,5.17,4.88,5.49
Frontiers in Psychology,2247,43657,5.15,4.94,5.36
Biomolecules,556,10944,5.08,4.68,5.51
Frontiers in Cardiovascular Medicine,547,11329,4.83,4.45,5.24
Frontiers in Medicine,755,15806,4.78,4.46,5.12
Cells,780,18263,4.27,3.99,4.57
Molecules,2077,52475,3.96,3.79,4.13
BMC Cancer,678,17159,3.95,3.67,4.25
Frontiers in Public Health,763,20464,3.73,3.48,4.0
Frontiers in Pharmacology,771,25612,3.01,2.81,3.23
The Journal of Cell Biology,770,26280,2.93,2.73,3.14
Cancers,914,31591,2.89,2.71,3.08
BioMed Research International,682,24974,2.73,2.54,2.94
RSC Advances,618,29911,2.07,1.91,2.23
