institution,count
School of Medicine,26938
Chinese Academy of Sciences,12721
University School of Medicine,10979
University of California,9012
University Hospital,7542
College of Medicine,6834
University of Science and Technology,5579
School of Life Sciences,4964
University Medical Center,4638
Institute of Technology,4632
School of Public Health,4503
University of,4146
University of Oxford,4095
Max Planck Institute,3749
Harvard Medical School,3451
University of Cambridge,3361
College of Life Sciences,3214
Stanford University,3187
University of Technology,3176
University of Chinese Academy of Sciences,3116
College of Veterinary Medicine,2609
INSERM,2583
University of Toronto,2549
University of Medical Sciences,2426
University of Copenhagen,2357
University of Tokyo,2319
School of Biological Sciences,2307
National Institutes of Health,2289
University College London,2248
University of Hong Kong,2221
University of Washington,2203
University of Melbourne,2173
University of Edinburgh,2131
University of Chinese Medicine,2130
University of Vienna,2120
Karolinska Institute,2107
University of Florida,2073
University of Helsinki,1992
Johns Hopkins University,1803
University of Pennsylvania,1795
University of Queensland,1753
University of British Columbia,1741
University of Michigan,1637
Institute of Science and Technology,1582
University of Minnesota,1545
College of Animal Science and Technology,1490
Yale University,1460
University of Zurich,1418
School of Medicine at Mount Sinai,1410
University of Traditional Chinese Medicine,1398
Harvard University,1329
University of Georgia,1321
University of Sydney,1320
University of Singapore,1310
Massachusetts Institute of Technology,1275
University of California San Diego,1261
University of Freiburg,1261
University College of Medicine,1240
University of Amsterdam,1239
Institute of Microbiology,1237
Université Paris-Saclay,1230
School of Basic Medical Sciences,1224
School of Pharmacy,1205
University of Manchester,1190
Inserm,1182
University of Oslo,1182
Institute of Botany,1161
University of London,1161
University of Bristol,1160
Center for Disease Control,1152
University of North Carolina at Chapel Hill,1125
University of Southern California,1123
Harvard,1109
University Graduate School of Medicine,1109
University of Munich,1106
University of Groningen,1090
University of Bern,1086
Cambridge,1063
Center for Disease Control and Prevention,1052
College of Life Science,1027
College of Pharmacy,1026
University of Chicago,1011
Universidad Nacional Aut,1005
University of Pittsburgh,996
Universität Berlin,989
University of Glasgow,984
School of Psychology,978
School of Science,965
Institute of Biology,946
College of Agriculture,933
University of Texas MD Anderson Cancer Center,932
University of Wisconsin-Madison,929
School of Pharmaceutical Sciences,922
University of Liverpool,909
Institute of Zoology,896
College of Horticulture,874
University of Western Australia,868
Oxford,861
Universidad Aut,848
University of Cologne,834
