journal,count
PLoS ONE,25098
Scientific Reports,15825
Frontiers in Microbiology,13817
Nature Communications,8653
Frontiers in Plant Science,6697
BMC Genomics,6437
Genome Announcements,6137
Nucleic Acids Research,5847
International Journal of Molecular Sciences,5507
Frontiers in Immunology,5368
iScience,4581
Microbiology Resource Announcements,4027
Scientific Data,3972
eLife,3879
Data in Brief,3487
"Mitochondrial DNA. Part B, Resources",2954
Frontiers in Genetics,2835
PeerJ,2750
Microorganisms,2717
bioRxiv,2514
PLoS Genetics,2497
PLOS ONE,2492
Ecology and Evolution,2477
Frontiers in Cellular and Infection Microbiology,2416
Heliyon,2350
Frontiers in Psychology,2247
Viruses,2146
Frontiers in Oncology,2144
Microbiology Spectrum,2112
Molecules,2077
The Journal of Biological Chemistry,1958
Proceedings of the National Academy of Sciences of the United States of America,1832
Cell reports,1763
Genome Research,1727
BMC Plant Biology,1723
mBio,1715
PLoS Pathogens,1690
Genes,1680
Emerging Infectious Diseases,1575
BMC Microbiology,1493
Frontiers in Veterinary Science,1493
Parasites & Vectors,1492
BMC Evolutionary Biology,1483
G3: Genes|Genomes|Genetics,1481
Oncotarget,1466
F1000Research,1356
Frontiers in Endocrinology,1348
Genome Biology,1324
PLoS Neglected Tropical Diseases,1160
Plants,1139
BMC Bioinformatics,1138
Frontiers in Cell and Developmental Biology,1126
Frontiers in Nutrition,1120
ZooKeys,1105
Science Advances,1093
Microbial Genomics,1088
Pathogens,1067
Communications Biology,1065
JCI Insight,1053
Animals : an Open Access Journal from MDPI,1045
PLoS Biology,1040
Genome Biology and Evolution,1010
Chemical Science,1007
Frontiers in Physiology,1002
Cancers,914
STAR Protocols,913
mSystems,892
Frontiers in Neuroscience,869
Journal of Fungi,859
GigaScience,853
Virology Journal,834
PLoS Computational Biology,802
Cell Reports Medicine,796
Cells,780
Frontiers in Pharmacology,771
The Journal of Cell Biology,770
Frontiers in Public Health,763
The Journal of Clinical Investigation,761
Frontiers in Medicine,755
Molecular & Cellular Proteomics : MCP,731
Marine Drugs,727
Insects,699
BioMed Research International,682
BMC Cancer,678
mSphere,663
Cell Death & Disease,658
RSC Advances,618
Journal of Experimental Botany,615
Aging (Albany NY),613
Genes & Development,609
Molecular Biology and Evolution,603
Royal Society Open Science,593
Morbidity and Mortality Weekly Report,593
BMC Veterinary Research,590
Cell Reports,562
Biomolecules,556
Life Science Alliance,555
Wellcome Open Research,555
Frontiers in Cardiovascular Medicine,547
Antibiotics,545
